session_id,role,burst_id,bytes_expected,bytes_received,chunks,chunks_corrupted,complete,start_ms,end_ms
c917af9f61e9bff46ec85334b736fc59,server,65,41667,41667,2,0,true,31679,31840
c917af9f61e9bff46ec85334b736fc59,server,67,41667,41667,2,0,true,32776,32864
c917af9f61e9bff46ec85334b736fc59,server,66,41667,41667,2,0,true,32240,32416
c917af9f61e9bff46ec85334b736fc59,server,68,41667,41667,2,0,true,33178,33238
c917af9f61e9bff46ec85334b736fc59,server,69,41667,41667,2,0,true,33540,33540
c917af9f61e9bff46ec85334b736fc59,server,70,41667,41667,2,0,true,33829,34089
c917af9f61e9bff46ec85334b736fc59,server,71,41667,41667,2,0,true,34649,34672
c917af9f61e9bff46ec85334b736fc59,server,72,41667,41667,2,0,true,35046,35061
c917af9f61e9bff46ec85334b736fc59,server,73,41667,41667,2,0,true,35415,35513
c917af9f61e9bff46ec85334b736fc59,server,75,41667,41667,2,0,true,36617,36722
c917af9f61e9bff46ec85334b736fc59,server,74,41667,41667,2,0,true,36139,36261
c917af9f61e9bff46ec85334b736fc59,server,76,41667,41667,2,0,true,37295,37382
c917af9f61e9bff46ec85334b736fc59,server,79,41667,41667,2,0,true,38707,38707
c917af9f61e9bff46ec85334b736fc59,server,78,41667,41667,2,0,true,38347,38417
c917af9f61e9bff46ec85334b736fc59,server,77,41667,41667,2,0,true,37711,38012
c917af9f61e9bff46ec85334b736fc59,server,80,41667,41667,2,0,true,39099,39268
c917af9f61e9bff46ec85334b736fc59,server,81,41667,41667,2,0,true,39745,39794
c917af9f61e9bff46ec85334b736fc59,server,82,41667,41667,2,0,true,40311,40410
c917af9f61e9bff46ec85334b736fc59,server,83,41667,41667,2,0,true,40596,40769
c917af9f61e9bff46ec85334b736fc59,server,84,41667,41667,2,0,true,41226,41336
c917af9f61e9bff46ec85334b736fc59,server,85,41667,41667,2,0,true,41723,41738
c917af9f61e9bff46ec85334b736fc59,server,86,41667,41667,2,0,true,42506,42579
c917af9f61e9bff46ec85334b736fc59,server,87,41667,41667,2,0,true,42874,43050
c917af9f61e9bff46ec85334b736fc59,server,88,41667,41667,2,0,true,43540,43777
c917af9f61e9bff46ec85334b736fc59,server,90,41667,41667,2,0,true,44757,44788
c917af9f61e9bff46ec85334b736fc59,server,89,41667,41667,2,0,true,44338,44519
c917af9f61e9bff46ec85334b736fc59,server,91,41667,41667,2,0,true,45145,45335
c917af9f61e9bff46ec85334b736fc59,server,92,41667,41667,2,0,true,45620,45722
c917af9f61e9bff46ec85334b736fc59,server,93,41667,41667,2,0,true,46204,46267
c917af9f61e9bff46ec85334b736fc59,server,94,41667,41667,2,0,true,46787,46957
c917af9f61e9bff46ec85334b736fc59,server,96,41667,41667,2,0,true,47725,47830
c917af9f61e9bff46ec85334b736fc59,server,95,41667,41667,2,0,true,47382,47382
c917af9f61e9bff46ec85334b736fc59,server,97,41667,41667,2,0,true,48274,48355
c917af9f61e9bff46ec85334b736fc59,server,99,41667,41667,2,0,true,49508,49790
c917af9f61e9bff46ec85334b736fc59,server,98,41667,41667,2,0,true,48919,49111
c917af9f61e9bff46ec85334b736fc59,server,100,41667,41667,2,0,true,50180,50189
c917af9f61e9bff46ec85334b736fc59,server,101,41667,41667,2,0,true,50485,50633
c917af9f61e9bff46ec85334b736fc59,server,102,41667,41667,2,0,true,51199,51276
c917af9f61e9bff46ec85334b736fc59,server,103,41667,41667,2,0,true,51736,51842
c917af9f61e9bff46ec85334b736fc59,server,104,41667,41667,2,0,true,52395,52484
c917af9f61e9bff46ec85334b736fc59,server,106,41667,41667,2,0,true,53294,53371
c917af9f61e9bff46ec85334b736fc59,server,105,41667,41667,2,0,true,52967,53063
c917af9f61e9bff46ec85334b736fc59,server,107,41667,41667,2,0,true,53933,54043
c917af9f61e9bff46ec85334b736fc59,server,108,41667,41667,2,0,true,54821,54976
c917af9f61e9bff46ec85334b736fc59,server,109,41667,41667,2,0,true,55310,55612
c917af9f61e9bff46ec85334b736fc59,server,110,41667,41667,2,0,true,56102,56188
c917af9f61e9bff46ec85334b736fc59,server,111,41667,41667,2,0,true,56748,56932
c917af9f61e9bff46ec85334b736fc59,server,112,41667,41667,2,0,true,57199,57298
c917af9f61e9bff46ec85334b736fc59,server,113,41667,41667,2,0,true,57834,57955
c917af9f61e9bff46ec85334b736fc59,server,114,41667,41667,2,0,true,58406,58503
c917af9f61e9bff46ec85334b736fc59,server,115,41667,41667,2,0,true,58965,59128
c917af9f61e9bff46ec85334b736fc59,server,116,41667,41667,2,0,true,59826,60056
c917af9f61e9bff46ec85334b736fc59,server,118,41667,41667,2,0,true,60850,60995
c917af9f61e9bff46ec85334b736fc59,server,117,41667,41667,2,0,true,60414,60486
c917af9f61e9bff46ec85334b736fc59,server,120,41667,41667,2,0,true,61572,61623
c917af9f61e9bff46ec85334b736fc59,server,119,41667,41667,2,0,true,61291,61382
c917af9f61e9bff46ec85334b736fc59,server,121,41667,41667,2,0,true,61937,61951
c917af9f61e9bff46ec85334b736fc59,server,122,41667,41667,2,0,true,62307,62321
c917af9f61e9bff46ec85334b736fc59,server,123,41667,41667,2,0,true,62605,62665
c917af9f61e9bff46ec85334b736fc59,server,124,41667,41667,2,0,true,62953,63051
c917af9f61e9bff46ec85334b736fc59,server,125,41667,41667,2,0,true,63592,63752
c917af9f61e9bff46ec85334b736fc59,server,126,41667,41667,2,0,true,64287,64295
c917af9f61e9bff46ec85334b736fc59,server,127,41667,41667,2,0,true,64703,64811
c917af9f61e9bff46ec85334b736fc59,server,128,41667,41667,2,0,true,65143,65163
c917af9f61e9bff46ec85334b736fc59,server,129,41667,41667,2,0,true,65533,65683
c917af9f61e9bff46ec85334b736fc59,server,131,41667,41667,2,0,true,66649,66672
c917af9f61e9bff46ec85334b736fc59,server,130,41667,41667,2,0,true,66241,66328
c917af9f61e9bff46ec85334b736fc59,server,132,41667,41667,2,0,true,67153,67162
c917af9f61e9bff46ec85334b736fc59,server,133,41667,41667,2,0,true,67424,67457
c917af9f61e9bff46ec85334b736fc59,server,134,41667,41667,2,0,true,67846,68098
c917af9f61e9bff46ec85334b736fc59,server,136,41667,41667,2,0,true,68887,68903
c917af9f61e9bff46ec85334b736fc59,server,135,41667,41667,2,0,true,68492,68576
c917af9f61e9bff46ec85334b736fc59,server,139,41667,41667,2,0,true,69683,69806
c917af9f61e9bff46ec85334b736fc59,server,137,41667,41667,2,0,true,69178,69207
c917af9f61e9bff46ec85334b736fc59,server,138,41667,41667,2,0,true,69395,69459
c917af9f61e9bff46ec85334b736fc59,server,140,41667,41667,2,0,true,70422,70623
c917af9f61e9bff46ec85334b736fc59,server,141,41667,41667,2,0,true,70872,71105
c917af9f61e9bff46ec85334b736fc59,server,142,41667,41667,2,0,true,71551,71750
c917af9f61e9bff46ec85334b736fc59,server,143,41667,41667,2,0,true,72258,72382
c917af9f61e9bff46ec85334b736fc59,server,144,41667,41667,2,0,true,72939,73020
c917af9f61e9bff46ec85334b736fc59,server,145,41667,41667,2,0,true,73345,73645
c917af9f61e9bff46ec85334b736fc59,server,147,41667,41667,2,0,true,74509,74602
c917af9f61e9bff46ec85334b736fc59,server,146,41667,41667,2,0,true,73922,74106
c917af9f61e9bff46ec85334b736fc59,server,148,41667,41667,2,0,true,74932,75020
c917af9f61e9bff46ec85334b736fc59,server,149,41667,41667,2,0,true,75280,75322
c917af9f61e9bff46ec85334b736fc59,server,150,41667,41667,2,0,true,75795,76055
c917af9f61e9bff46ec85334b736fc59,server,151,41667,41667,2,0,true,76537,76640
c917af9f61e9bff46ec85334b736fc59,server,152,41667,41667,2,0,true,76902,77019
c917af9f61e9bff46ec85334b736fc59,server,153,41667,41667,2,0,true,77536,77857
c917af9f61e9bff46ec85334b736fc59,server,155,41667,41667,2,0,true,78896,78960
c917af9f61e9bff46ec85334b736fc59,server,154,41667,41667,2,0,true,78333,78461
c917af9f61e9bff46ec85334b736fc59,server,157,41667,41667,2,0,true,79861,79882
c917af9f61e9bff46ec85334b736fc59,server,156,41667,41667,2,0,true,79330,79434
c917af9f61e9bff46ec85334b736fc59,server,158,41667,41667,2,0,true,80318,80462
c917af9f61e9bff46ec85334b736fc59,server,159,41667,41667,2,0,true,80743,80749
c917af9f61e9bff46ec85334b736fc59,server,160,41667,41667,2,0,true,81537,81619
c917af9f61e9bff46ec85334b736fc59,server,161,41667,41667,2,0,true,81857,81968
c917af9f61e9bff46ec85334b736fc59,server,162,41667,41667,2,0,true,82245,82282
c917af9f61e9bff46ec85334b736fc59,server,164,41667,41667,2,0,true,83862,83968
c917af9f61e9bff46ec85334b736fc59,server,163,41667,41667,2,0,true,83033,83137
c917af9f61e9bff46ec85334b736fc59,server,165,41667,41667,2,0,true,84272,84346
c917af9f61e9bff46ec85334b736fc59,server,166,41667,41667,2,0,true,84639,84670
c917af9f61e9bff46ec85334b736fc59,server,167,41667,41667,2,0,true,84969,85153
c917af9f61e9bff46ec85334b736fc59,server,168,41667,41667,2,0,true,85515,85608
c917af9f61e9bff46ec85334b736fc59,server,169,41667,41667,2,0,true,86420,86540
c917af9f61e9bff46ec85334b736fc59,server,170,41667,41667,2,0,true,87039,87061
c917af9f61e9bff46ec85334b736fc59,server,171,41667,41667,2,0,true,87391,87570
c917af9f61e9bff46ec85334b736fc59,server,173,41667,41667,2,0,true,88876,88950
c917af9f61e9bff46ec85334b736fc59,server,172,41667,41667,2,0,true,88142,88204
c917af9f61e9bff46ec85334b736fc59,server,174,41667,41667,2,0,true,89193,89300
c917af9f61e9bff46ec85334b736fc59,server,175,41667,41667,2,0,true,89600,89871
c917af9f61e9bff46ec85334b736fc59,server,176,41667,41667,2,0,true,90190,90239
c917af9f61e9bff46ec85334b736fc59,server,177,41667,41667,2,0,true,90798,90798
c917af9f61e9bff46ec85334b736fc59,server,179,41667,41667,2,0,true,91427,91488
c917af9f61e9bff46ec85334b736fc59,server,178,41667,41667,2,0,true,91049,91157
c917af9f61e9bff46ec85334b736fc59,server,180,41667,41667,2,0,true,92044,92044
c917af9f61e9bff46ec85334b736fc59,server,181,41667,41667,2,0,true,92575,92657
c917af9f61e9bff46ec85334b736fc59,server,182,41667,41667,2,0,true,93203,93356
c917af9f61e9bff46ec85334b736fc59,server,183,41667,41667,2,0,true,93705,93752
c917af9f61e9bff46ec85334b736fc59,server,185,41667,41667,2,0,true,94525,94647
c917af9f61e9bff46ec85334b736fc59,server,184,41667,41667,2,0,true,94068,94104
c917af9f61e9bff46ec85334b736fc59,server,187,41667,41667,2,0,true,95633,95799
c917af9f61e9bff46ec85334b736fc59,server,186,41667,41667,2,0,true,95176,95300
c917af9f61e9bff46ec85334b736fc59,server,188,41667,41667,2,0,true,96348,96458
c917af9f61e9bff46ec85334b736fc59,server,190,41667,41667,2,0,true,97403,97501
c917af9f61e9bff46ec85334b736fc59,server,189,41667,41667,2,0,true,96891,97028
c917af9f61e9bff46ec85334b736fc59,server,192,41667,41667,2,0,true,98420,98430
c917af9f61e9bff46ec85334b736fc59,server,193,41667,41667,2,0,true,98722,98856
c917af9f61e9bff46ec85334b736fc59,server,191,41667,41667,2,0,true,97925,98019
c917af9f61e9bff46ec85334b736fc59,server,194,41667,41667,2,0,true,99131,99385
c917af9f61e9bff46ec85334b736fc59,server,195,41667,41667,2,0,true,100101,100200
c917af9f61e9bff46ec85334b736fc59,server,197,41667,41667,2,0,true,101683,101778
c917af9f61e9bff46ec85334b736fc59,server,196,41667,41667,2,0,true,100992,101078
c917af9f61e9bff46ec85334b736fc59,server,198,41667,41667,2,0,true,102193,102251
c917af9f61e9bff46ec85334b736fc59,server,199,41667,41667,2,0,true,102500,102657
c917af9f61e9bff46ec85334b736fc59,server,201,41667,41667,2,0,true,103573,103665
c917af9f61e9bff46ec85334b736fc59,server,200,41667,41667,2,0,true,102951,103043
c917af9f61e9bff46ec85334b736fc59,server,203,41667,41667,2,0,true,104540,104630
c917af9f61e9bff46ec85334b736fc59,server,202,41667,41667,2,0,true,103922,104036
c917af9f61e9bff46ec85334b736fc59,server,204,41667,41667,2,0,true,105070,105262
c917af9f61e9bff46ec85334b736fc59,server,206,41667,41667,2,0,true,105879,105972
c917af9f61e9bff46ec85334b736fc59,server,205,41667,41667,2,0,true,105660,105687
c917af9f61e9bff46ec85334b736fc59,server,208,41667,41667,2,0,true,106600,106674
c917af9f61e9bff46ec85334b736fc59,server,207,41667,41667,2,0,true,106290,106391
c917af9f61e9bff46ec85334b736fc59,server,209,41667,41667,2,0,true,107128,107358
c917af9f61e9bff46ec85334b736fc59,server,211,41667,41667,2,0,true,108683,108683
c917af9f61e9bff46ec85334b736fc59,server,210,41667,41667,2,0,true,108280,108404
c917af9f61e9bff46ec85334b736fc59,server,212,41667,41667,2,0,true,109291,109386
c917af9f61e9bff46ec85334b736fc59,server,213,41667,41667,2,0,true,109741,109765
c917af9f61e9bff46ec85334b736fc59,server,214,41667,41667,2,0,true,110174,110351
c917af9f61e9bff46ec85334b736fc59,server,215,41667,41667,2,0,true,110814,110841
c917af9f61e9bff46ec85334b736fc59,server,216,41667,41667,2,0,true,111535,111697
c917af9f61e9bff46ec85334b736fc59,server,218,41667,41667,2,0,true,112770,112859
c917af9f61e9bff46ec85334b736fc59,server,217,41667,41667,2,0,true,112091,112200
c917af9f61e9bff46ec85334b736fc59,server,219,41667,41667,2,0,true,113276,113318
c917af9f61e9bff46ec85334b736fc59,server,220,41667,41667,2,0,true,113679,113898
c917af9f61e9bff46ec85334b736fc59,server,221,41667,41667,2,0,true,114279,114411
c917af9f61e9bff46ec85334b736fc59,server,222,41667,41667,2,0,true,114684,115005
c917af9f61e9bff46ec85334b736fc59,server,223,41667,41667,2,0,true,115310,115543
c917af9f61e9bff46ec85334b736fc59,server,224,41667,41667,2,0,true,115978,116073
c917af9f61e9bff46ec85334b736fc59,server,225,41667,41667,2,0,true,116316,116360
c917af9f61e9bff46ec85334b736fc59,server,226,41667,41667,2,0,true,116719,116719
